x_inner	x_outer	x_diff	phi_inner	phi_outer	phi_diff	theta_inner	theta_outer	theta_diff
66.8219	-88.2148	 155.037	-0.0146806	-0.718966	-0.704286	0.770623	2.69525	1.92462
65.3213	56.5635	 8.75783	0.0859842	1.4064	1.32041	0.731066	2.8116	2.08054
69.5239	97.1579	 -27.6339	-0.0348228	0.738352	0.773175	0.89688	2.89129	1.99441
64.0592	92.6283	 -28.5691	0.187615	1.02008	0.832468	0.809222	2.91259	2.10337
75.663	130.106	 -54.4426	-0.301879	-0.728559	-0.426681	0.857907	2.78942	1.93151
60.5464	-131.567	 192.113	0.289752	-0.341833	-0.631585	0.716365	2.7355	2.01914
71.6775	-77.47	 149.147	-0.0881012	0.989597	1.0777	0.941452	2.5469	1.60545
60.8371	-98.716	 159.553	0.295064	0.71569	0.420627	0.844888	2.80042	1.95553
67.648	-134.548	 202.196	0.0254198	0.004023	-0.0213968	0.890006	2.73152	1.84151
61.8858	-62.612	 124.498	0.251246	-0.926227	-1.17747	0.735353	2.57839	1.84304
73.0007	-111.987	 184.988	-0.202077	0.689049	0.891127	0.843128	2.63532	1.79219
65.6089	7.13421	 58.4747	0.0754624	1.45963	1.38417	0.847825	2.56724	1.71941
64.4619	139.162	 -74.7004	0.151673	-0.536222	-0.687896	0.774577	2.67404	1.89946
61.9894	-15.7415	 77.7309	0.240776	1.34807	1.10729	0.856376	2.74298	1.8866
72.8692	-136.406	 209.275	-0.184402	0.0554753	0.239877	0.897296	2.69128	1.79398
66.7246	31.3807	 35.3439	0.0472531	1.49704	1.44979	0.848341	2.81084	1.9625
71.4989	-89.129	 160.628	-0.140991	-0.547995	-0.407004	0.83952	2.85184	2.01232
64.9904	110.097	 -45.1068	0.131425	-0.83771	-0.969135	0.786928	2.70952	1.92259
61.3082	-100.235	 161.544	0.243861	-0.638441	-0.882302	0.702216	2.6871	1.98488
71.0127	-5.34993	 76.3627	-0.146202	1.45085	1.59705	0.868176	2.47507	1.60689
67.7971	73.3444	 -5.54734	-0.00412111	0.94988	0.954001	0.871778	2.81456	1.94278
72.4877	-91.1393	 163.627	-0.203959	-0.471221	-0.267261	0.848139	2.71393	1.8658
68.4759	-21.5916	 90.0676	-0.0339585	1.29648	1.33043	0.775013	2.61101	1.836
71.5151	-26.4624	 97.9774	-0.15438	1.31463	1.46901	0.84867	2.49379	1.64512
72.775	-127.725	 200.5	-0.230318	-0.0781412	0.152177	0.817985	2.71237	1.89438
65.8422	35.0696	 30.7726	0.0883487	-1.50791	-1.59626	0.822435	2.60742	1.78499
61.6939	61.9229	 -0.228992	0.256026	1.26916	1.01313	0.888101	2.77599	1.88789
66.7838	-5.24621	 72.03	0.0199826	-1.34926	-1.36924	0.796428	2.86644	2.07001
63.0548	140.364	 -77.3091	0.173055	-0.0966741	-0.269729	0.702211	2.79347	2.09126
70.694	-75.0852	 145.779	-0.0668661	0.955472	1.02234	0.854081	2.60965	1.75557
65.5767	31.3164	 34.2603	0.0907203	1.50803	1.41731	0.854343	2.83596	1.98162
72.1657	16.5307	 55.635	-0.167499	1.49453	1.66203	0.80785	2.78721	1.97936
65.6814	-135.231	 200.913	0.102596	0.355001	0.252405	0.809269	2.54873	1.73946
68.3484	140.617	 -72.2689	0.0142799	-0.464345	-0.478625	0.844565	2.74446	1.8999
66.036	-100.541	 166.577	0.126859	-0.384072	-0.510931	0.970222	2.60112	1.6309
74.6772	130.251	 -55.5743	-0.311422	-0.742729	-0.431308	0.865249	2.83261	1.96736
66.6913	-81.3895	 148.081	0.0533267	0.940846	0.887519	0.859989	2.70721	1.84722
62.8038	-48.6002	 111.404	0.186138	-1.02859	-1.21473	0.734424	2.62161	1.88718
65.9328	-126.951	 192.884	0.0797514	-0.382523	-0.462275	0.736621	2.65701	1.92039
65.8639	-14.349	 80.2129	0.0419288	1.33243	1.2905	0.737632	2.75203	2.0144
68.3103	-81.4894	 149.8	-0.0327262	0.818804	0.85153	0.774431	2.69226	1.91783
65.6074	-139.638	 205.245	0.0875952	0.165675	0.0780798	0.8597	2.69961	1.83991
67.6465	105.134	 -37.4871	-0.00845946	0.148449	0.156908	0.786398	1.61497	0.828571
69.7292	-56.9039	 126.633	-0.0468528	1.10907	1.15592	0.932355	2.47133	1.53897
72.0468	46.3919	 25.6549	-0.147198	-1.46782	-1.32062	0.854423	2.62987	1.77544
63.7483	-40.2529	 104.001	0.152138	0.982183	0.830044	0.724831	2.71897	1.99414
60.2794	-101.113	 161.393	0.274362	0.545148	0.270787	0.717391	2.77901	2.06162
67.4989	139.918	 -72.4196	0.0184845	-0.00299343	-0.0214779	0.789044	2.71132	1.92228
64.6561	-131.41	 196.066	0.109116	0.450819	0.341703	0.80577	2.58263	1.77686
73.7615	131.254	 -57.4929	-0.232479	-0.735985	-0.503507	0.809823	2.87037	2.06055
62.7972	-45.7563	 108.553	0.26168	1.0611	0.799415	0.846328	2.67079	1.82446
